timestamp,service_name,event_code,event_provider,trace_id,transaction_id,message,callee,parsed,call_duration
2025-06-03 11:31:08:720,S1,m1,infrastructure,t1,668fad99-04e1-45a6-9ed5-4ee08e3d033c,"-> Client, 2970299:S8:1, HasExtensionKit",S8,2025-06-03 11:31:08.720,0.012
2025-06-03 11:31:09:702,S1,m1,infrastructure,t2,c0a6ed28-43c7-42c8-bd2c-5140fc9c4bf9,"-> Client, 2970299:S8:1, HasExtensionKit",S8,2025-06-03 11:31:09.702,0.018
2025-06-03 11:31:10:404,S1,m1,infrastructure,t3,26a82b2e-cb4c-4dcb-8d54-1464665d5cc0,"-> Client, 2970299:S8:1, HasExtensionKit",S8,2025-06-03 11:31:10.404,0.015
2025-06-03 11:31:28:618,S1,m1,infrastructure,t4,095e9f49-2bb5-4df4-b6f9-00ab13a1b266,"-> Client, 2970299:S8:1, HasExtensionKit",S8,2025-06-03 11:31:28.618,0.009
2025-06-03 11:31:39:365,S1,m1,infrastructure,t5,1ca940b8-9c45-4d19-ad6e-3cee252fb964,"-> Client, 2970299:S8:1, HasExtensionKit",S8,2025-06-03 11:31:39.365,0.009
2025-06-03 11:31:40:465,S1,m1,infrastructure,t6,18794f08-2bd2-4ffa-9f23-37d0c1abbaec,"-> Client, 2970299:S8:1, HasExtensionKit",S8,2025-06-03 11:31:40.465,0.009
2025-06-03 11:31:40:994,S1,m1,infrastructure,t7,8a81a127-4edc-4b1f-9654-9cc7e08c46ce,"-> Client, 2970299:S8:1, HasExtensionKit",S8,2025-06-03 11:31:40.994,0.012
2025-06-03 11:32:03:738,S2,m2,infrastructure,t8,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:S4:4, SetPosition Park, (Position:0,Temperature:300)",S4,2025-06-03 11:32:03.738,0.445
2025-06-03 11:32:04:183,S2,m2,infrastructure,t8,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:S4:4, SetPosition CartridgeDetectionBegin, (Position:0.004,Temperature:300)",S4,2025-06-03 11:32:04.183,0.34
2025-06-03 11:32:04:523,S2,m2,infrastructure,t8,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:S4:4, SetPosition CartridgeDetectionMaxSignal, (Position:0.0035,Temperature:300)",S4,2025-06-03 11:32:04.523,0.378
2025-06-03 11:32:04:901,S2,m2,infrastructure,t8,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:S4:4, SetPosition CartridgeDetectionEnd, (Position:0.003,Temperature:300)",S4,2025-06-03 11:32:04.901,0.0
2025-06-03 11:32:05:237,S2,m2,infrastructure,t8,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:S4:4, SetPosition GrabAndDrag, (Position:0.0162,Temperature:300)",S4,2025-06-03 11:32:05.237,0.0
2025-06-03 11:32:05:608,S2,m2,infrastructure,t8,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:S4:4, SetPosition Docker, (Position:0.018,Temperature:300)",S4,2025-06-03 11:32:05.608,0.437
